name,revenue
بيان الموارد,0
 المعلوم على العقارات المبنية,108917440
 المعلوم على الأراضي غير المبنية,61488541
 المعلوم على المؤسسات ذات الصبغة الصناعية أو التجارية أو            المهنية,14492441
المقابيض الاعتيادية للمعلوم على المؤسسات ذات الصبغة الصناعية أو التجارية أو المهنية,110526341
المبالغ المتأتية من صندوق التعاون بين الجماعات المحلية بعنوان حذف الحد الاقصىللمعلوم على المؤسسات,24094000
 معلوم الإجازة الموظف على محلات بيع المشروبات,438525
 مداخيل الأسواق اليومية والأسبوعية والظرفية,75936249
 مداخيل أسواق الجملة,30000000
 لزمة معلوم المسالخ,2000000
المعلوم العام للوقوف,0
 معلوم الإشغال الوقتي للطريق العام,0
 معلوم وقوف العربات بالطريق العام,0
 معلوم إشغال الطريق العام بمناسبة حضائر البناء,52450680
 معلوم عن أشغال تحت الطريق العام,0
 معلوم الإشهار,4417600
 مداخيل مختلفة,24355500
 معلوم التعريف بالإمضاء,13187750
 معلوم الإشهاد بمطابقة النسخ للأصل,4924000
 معلوم تسليم بطاقات الحالة المدنية,13557000
 معلوم تسليم الشهائد والحجج الأخرى,40000
 معلوم رخص إشغال الطريق العام لتعاطي بعض المهن,5184308
 معلوم رخص الحفلات المنظمة بمناسبة الأفراح العائلية,5980000
 معلوم رخص الحفلات العمومية,0
معلوم رخص فتح المقاهي والمحلات المماثلة بعد الساعات القانونية,0
 معاليم رخص البناء,21166220
 معلوم رخص جولان سيارات الأجرة والسيارات المجهزة بعداد,0
 معاليم رخص نصب آلات توزيع الوقود في الطريق العام,0
 معاليم رخص أخرى مسندة بمقتضى التراتيب الجاري بها العمل,0
 معلوم الاعتناء بفروع قنوات تصريف المواد السائلة,13690000
 معاليم الإيواء بمستودع الحجز,8097500
 المقابيض الاعتيادية للمعلوم الإضافي على سعر التيار الكهربائي,53133000
 المبالغ المتأتية من  المعلوم الإضافي على سعر التيار الكهربائي باعتماد آلية التعديل لصندوق التعا,15382000
 معاليم مقابل رفع الفضلات المتأتية من نشاط المحلات التجارية أو         الصناعية أو المهنية,0
 معلوم كراء السيارات لنقل الموتى,0
 معاليم أخرى مقابل إسداء خدمات,0
 معاليم إشغال الملك العمومي البحري,0
 المعلوم على العروض الظرفية,0
 مساهمة المالكين الأجوار في نفقات الأشغال الأولية والإصلاحات        الكبرى المتعلقة بالطرقات والأرض,0
 مداخيل الملاعب والقاعات الرياضية,0
 مداخيل المسارح,0
 مداخيل كراء عقارات معدة لنشاط تجاري,55473690
 مداخيل كراء عقارات معدة لنشاط مهني,0
 مداخيل كراء عقارات معدة للسكن,2509387
 مداخيل كراء الملاعب والقاعات الرياضية,1720000
 مداخيل كراء التجهيزات والمعدات,0
 مداخيل الأكرية الأخرى,0
محاصيل بيع العقارات,0
 محاصيل بيع الأثاث الذي زال الانتفاع به,0
 محاصيل البيوعات الأخرى,0
 المناب من المال المشترك,481368000
موارد منقولة من فوائض العنوان الأول,55600000
 مداخيل المخالفات لتراتيب حفظ الصحة والشرطة الصحية,0
 مداخيل المخالفات للتراتيب العمرانية,0
مقابيض مترتبة عن تسوية العمليات الخارجة عن الميزانية,0
مقابيض من إيداعات غير معرفة,0
مبالغ مترتبة عن سقوط الحق بمرور الزمن,0
مقابيض أخرى,0
 استرجاع مصاريف إصلاح الطرقات والأرصفة,4315600
 استرجاع مصاريف مقابل أشغال وخدمات أخرى,23453800
التبرعات والوصايا,0
مبالغ بعنوان مصاريف إدارة و تصرف لفائدة الغير,2995112
مبالغ مستخلصة بمقتضى أحكام,1177015
 خطايا التأخير المنجرة عن انجاز الصفقات العمومية ,0
 مقابيض مختلفة,45
